conversation_id,conversation,cluster,intent,reason
17,"AppleSupport: @730700 Let's take a look at this. Which type of iPhone is this on and which version of the iOS is currently installed?
Customer: @AppleSupport iPhone 7 iOS 11.1.2
AppleSupport: @730700 Have you recently been disconnected from Wi-Fi network? Does it persist even after a restart?
Customer: @AppleSupport I am on wifi, and it does not persist after a restart. But always comes back at some point
AppleSupport: @730700 Does the Wi-Fi icon appear on the left side of the menu bar when connected? When did you notice this started happening?
Customer: @AppleSupport Wifi icon does appear and it has been happening for two weeks
AppleSupport: @730700 From the screenshot we see that you're connected to cellular data LTE, with 1 bar. Does this happen in multiple locations? Respond to us in DM by clicking on the link below. We'll continue there. https://t.co/GDrqU22YpT",14,IOS_11_WIFI_BEHAVIOR,Customers are reporting that Wi-Fi and Bluetooth automatically reconnect or turn back on after being disabled in the Control Center following the iOS 11 update.
18,"Customer: Bienvenida sea la multi tarea al 3D touch en iphone, gracias @AppleSupport  #newupdate
AppleSupport: @117646 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs
Customer: @AppleSupport Thank you so much im just happy about the release of the new update and the 3D touch multitask is back again!",6,REQUEST_HUMAN_SUPPORT,"Customers are explicitly asking for help, contact, or assistance from a human agent, often expressing frustration with automated responses or seeking to escalate their issue."
19,"Customer: @AppleSupport Hi guys, I have Apple 6 iPhone after the iOS updates even the latest, the keypad does not work i can't use the extreme right and left alphabets and I can't use the numbers and special characters how do I fix this.
AppleSupport: @743884 That can certainly make it difficult for you to communicate. Let's get this figured out. First, can you tell us the exact iOS version currently installed? Also, does this happen in all apps or only in certain ones?
Customer: @AppleSupport iOS updated was 11.1.2 it happens in all the apps so even this reply i am doing it from desk top computer since i can't type in the numbers and special characters
AppleSupport: @743884 Got it. Does the issue persist even after a restart? If so, DM us the country you're located in and we'll continue there. https://t.co/GDrqU22YpT",15,KEYBOARD_TYPING_GLITCH,Customers are reporting a specific bug where typing the letter 'I' results in incorrect characters or formatting issues on their devices.
20,"Customer: Starting this morning I️ suddenly have been afflicted with this fucking .@AppleSupport bug where my I’s are glitching. What is the deal? Where is the fix? Why now? https://t.co/fgermIw21W
AppleSupport: @576966 Thanks for reaching out again. Which specific iOS version are you using currently?
Customer: @AppleSupport 11.0.3– I️ see I️ have a notification to update the software which I️ can do tonight. It’s odd this glitch just came out of nowhere today.
AppleSupport: @576966 We recently released iOS 11.1.2, so let’s go ahead and upgrade to that latest version, then let us know how things go from there. This article will guide you: https://t.co/80YRnjDFDk",9,IOS_11_BUG_REPORT,"Customers are reporting specific issues with iOS 11, and support agents are verifying the exact software version to determine if a recent update resolves the problem."
21,"Customer: @AppleSupport What is going on with my iPhone? Crashed three times today with your bloody software update. Please fix it!!!!
AppleSupport: @431487 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT",13,IPHONE_GENERAL_ISSUE,"All conversations involve customers reporting unspecified problems with their iPhones, prompting support to request general details like device model and iOS version to diagnose the issue."
22,"Customer: Hey @AppleSupport why won’t it let me install the update? I’ve tried everything https://t.co/9bMIiczxhV
AppleSupport: @566673 If this article doesn't help: https://t.co/Ui1yTnOCUz Send us a DM and let us know the country you're in. https://t.co/GDrqU22YpT",10,IOS_UPDATE_PROBLEM,"All customers are reporting issues, bugs, or dissatisfaction specifically related to recent iOS software updates on their devices."
23,"Customer: @AppleSupport @115858 FIX THE FUCKING BOX
AppleSupport: @513284 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz",2,SOFTWARE_BUG_WORKAROUND,Customers are seeking temporary solutions for known software issues that are scheduled to be fixed in future updates.
24,"AppleSupport: @253304 Hi. We are here to help. To get started, what is your current iOS version? Go to Settings &gt; General &gt; About for that. Also, what happens when you attempt to send a message and what happens when someone calls you? Are there any error messages? Thanks
Customer: @AppleSupport The version is 10.2 When someone calls me it is saying ""the subscriber you are trying to reach can not be reached"" and when I send a text as iMessage it doesn't deliver it will just float above the last message that delivered.
AppleSupport: @253304 Thanks for providing that for us. Have you tried contacting your carrier about this issue?",0,MESSAGE_NOTIFICATION_PROBLEM,"Customers are reporting issues with receiving or displaying notifications for text messages and other apps, often citing specific iOS versions as the cause."
25,"Customer: @AppleSupport I️ don’t like this. How do I️ fix it?
AppleSupport: @711210 We've got an update to iOS that solves that issue with the letter ""i"". Backup with these steps here: https://t.co/4f8hwT5to6, then check to see if you are on iOS 11.1.1 at Settings &gt; General &gt; About. If you aren't, update and let us know if that still happens. https://t.co/GDrqU22YpT
Customer: @AppleSupport I appreciate it!
AppleSupport: @711210 No problem! We're happy to help.",15,KEYBOARD_TYPING_GLITCH,Customers are reporting a specific bug where typing the letter 'I' results in incorrect characters or formatting issues on their devices.
26,"AppleSupport: @168624 We'd like to help. What's happening when you try to use the Music app on your iPhone? https://t.co/GDrqU22YpT
Customer: @AppleSupport When I open the app it is unresponsive. It occasionally will respond for a few seconds before it jams again. It also closes itself. I had full 4g and everything else on the phone was working fine.
Customer: @AppleSupport I can't even cancel my subscription and leave because the app is non responsive. Over 2 years of @115888 and never had a problem. Why oh why did I think it was a good idea to try apple music 🙄
AppleSupport: @168624 Got it, that sounds like something we can help you fix. Can you tell us what iOS version you have installed? To check, go to Settings &gt; General &gt; About.
Customer: @AppleSupport 11.1.1
Customer: @AppleSupport Just upgrading to 11.1.2
AppleSupport: @168624 Let us know if updating to 11.1.2 helps and we'll continue from there.",5,IOS_11_FREEZE_PROBLEM,"All customers report that their iPhones are freezing, crashing, or becoming unresponsive specifically after updating to iOS 11."
27,"Customer: Sinds dat nieuwe iOS valt 4G telkens uit. En traag heel traag. En nummerherkenning weigert. Wat te doen, @AppleSupport
AppleSupport: @353056 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj",6,REQUEST_HUMAN_SUPPORT,"Customers are explicitly asking for help, contact, or assistance from a human agent, often expressing frustration with automated responses or seeking to escalate their issue."
28,"Customer: After update #ios1103 no spotify on my lock screen?@AppleSupport
AppleSupport: @115870 Thanks for reaching out to us. Are you experiencing the missing app after restating your device?
Customer: @AppleSupport The app is still there. But no longer able to control it from the lockscreen.
AppleSupport: @115870 Just to confirm, this is only happening with Spotify, correct?
Customer: @AppleSupport Yes!
Customer: @AppleSupport I can not find an option to get it there. It was just always there when playing.
AppleSupport: @115870 DM us the specific iOS version you are running currently and we'll continue there. https://t.co/GDrqU22YpT",10,IOS_UPDATE_PROBLEM,"All customers are reporting issues, bugs, or dissatisfaction specifically related to recent iOS software updates on their devices."
29,AppleSupport: @461838 We're happy to help take a closer look. Please DM us and we can go from there together. https://t.co/GDrqU22YpT,4,INITIAL_SUPPORT_INQUIRY,All conversations consist of automated responses acknowledging a customer's initial public contact and directing them to private direct messages for further assistance.
30,"AppleSupport: Updated your #iPad to iOS 11? Here's a look at the new Control Center and App Switcher.

Learn more: https://t.co/I8S8tdA4ZP https://t.co/enQf8rktyS
Customer: @AppleSupport I lost hundreds of dollars in Movies because of this stupid update. 

Anyone want to buy a MacBook, Apple TV, iPad, iPhone and iWatch?
Customer: @AppleSupport Ur iPhone X is a major failure. As well as your so called new iPad update. Highly disappointing.
Customer: @AppleSupport I can't not update iOS 11
Customer: @AppleSupport Fix the goddamn battery issues with iOS 11 holy shit. I easily got 8-9 hours on iOS 10 but on iOS 11 I can barely get 4 hours with the same usage, same settings, etc. Worst update yet.
Customer: @AppleSupport Pls fix bugs and battery drain issue on iPhone 5s ios11.1.1
Customer: @AppleSupport This new update DISCONNECTS MY INTERNET
Customer: @AppleSupport Battery is shite on iPhone 7 iOS 11.1.1 100% to 33% in 4 hours 😂
Customer: @AppleSupport Can i backup my iphone to ios 11 ?
Customer: @AppleSupport Do you have iOS 11 for IPad mini?
Customer: @AppleSupport Fix the damn bugs. I went from 10.3.3 to 11.1 and it’s still buggy and slow.
Customer: @AppleSupport I own 3 devices that do not work after IOS update, solved the problem quickly because all my work in the phone ,
AppleSupport: @439417 Thanks for reaching out to us. We'd like to help you and look into this further. Please DM us to continue working on this. https://t.co/GDrqU22YpT
AppleSupport: @668825 We'd like to help! Which device are you trying to update? And, what's the current iOS version? You can check by navigating to Settings &gt; General &gt; About: https://t.co/ZTw54HL4Rm
AppleSupport: @668823 We'd like to help. What seems to be going on? DM us here: https://t.co/GDrqU22YpT
AppleSupport: @192069 Hi there! Thanks for reaching out. We'll continue from your message in DM with you. https://t.co/GDrqU22YpT
AppleSupport: @666619 We’re here to help. Let’s team up in DM and we’ll do our best to assist you. https://t.co/GDrqU22YpT
AppleSupport: @666606 We're happy to help. Tell us more about the internet issues you're experiencing via DM. We'll go from there. https://t.co/GDrqU22YpT
AppleSupport: @666700 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT
AppleSupport: @666687 Thanks for reaching out to us. For help with backing up your device, use this article here: https://t.co/4f8hwT5to6
AppleSupport: @666679 Great question. We're here to help you. Check out this link and scroll down to where it says 'iOS 11 is compatible with these devices.': https://t.co/LVMJqqcDhs
This includes some generations of the iPad Mini. DM us any other questions: https://t.co/GDrqU22YpT
AppleSupport: @666677 We're here to help. What device are you using? Are you experiencing this while using a certain application or feature? 

Just so we understand better, this has been happening since iOS 10.3.3. Sound about right?
AppleSupport: @135204 That's not the experience we want you to have. To start, can you tell us a bit more about what you're experiencing with your devices? Use the DM link below to send some details, and we'll see how we can help. https://t.co/GDrqU22YpT
Customer: @AppleSupport Thank you 😊
Customer: @AppleSupport I think this is a global problem, because I read a lot of comments about it on Twitter and websites, I've been using iPhone for 10 years, and I know how to put iPhone in DFU mode, The problem is that I do not have a backup, and I do not want to lose a date on iPhone , https://t.co/WqknUKB2RF
Customer: @AppleSupport No, iOS 10.3.3 was silky smooth, no bugs. iOS 11 is a buggy, performance ridden mess and people who have updated hate it. If possible, relay to @115858 or just the iOS devs that I’m gonna switch to Google if the bugs and performance issues aren’t fixed. My device is an iPhone SE.
Customer: @AppleSupport I fixed my iPhone 6 and my sis’s iPhone 7, and I lost all the new numbers and because my Iphone did not appear in the iTunes application ,and I did not take a backup in iCloud , 

IPhone 6: restore to iOS 11.1.1 
IPhone 7 : restore to iOS 11.0.3 

Plz Make sure the system works https://t.co/bwkJ3R82Pd
Customer: @AppleSupport To your knowledge my brother also called me two hours ago, said the phone does not work after the logo of the apple, Also updated the system for iOS 11
All Arab ppl had this problems , Even after the new update (ios11.1/ios11.1.1)
Just I can say for u thanks apple for this update https://t.co/sLV8PsH4p7
Customer: @AppleSupport This is my brother, and the phone does not work after Apple logo, it has iPhone 8, my brother speaks Arabic and you did not understand him, but I told you about the problem and I hope to solve it as soon as possible,

Just hear the sound of charging, does not work https://t.co/Z8CcINcGvc
Customer: @AppleSupport Just updated my Mac to OS High Sierra a couple days ago, however it has yet to accept my Watch 3 to unlock the MB Air (it doesn’t show in a System Prefs&gt;Security &amp; Privacy. Any idea when an update on that is coming? Thank you.
AppleSupport: @135204 Go ahead and DM us which iPhone you're experiencing this on, and we'll continue there. You can use the link below to reach us via DM: https://t.co/GDrqU22YpT
AppleSupport: @666677 That's certainly not the experience we want for our iOS users to have, and we'd like to help. To continue, send us a Direct Message. https://t.co/GDrqU22YpT
Customer: @AppleSupport Wha? Dude just let @115858 know that people hate iOS 11. It’s not that hard lol. The adoption rate is way lower than last year anyway. Nothing can fix this until the iOS devs get their crap together and iron out the bugs and performance issues.
Customer: @AppleSupport @116333
Tim, I want to ask you, is there anyone with you working in Jailbreak, I think he tried to make all the devices infected Jailbreak but did not succeed in this, for this our iPhones do not work, this is the best joking you recognize today.Rest3 iPhone with all lost data
AppleSupport: @668885 Thanks for reaching out and we'd like to check into this with you. Review the following article to make sure you meet the requirements for this and let us know if you're still unable to use your Apple Watch to unlock: https://t.co/MQdkNOBC7a
Customer: @AppleSupport Control Center does not work!!! When I disable WiFi, the radio remaions on. I have to go to Settings for turning it off #grrr
AppleSupport: @669332 We're glad you reached out. In iOS 11 the Bluetooth and Wi-Fi controls in Control Center will disconnect from their active connections. You would turn them off in settings: https://t.co/G7BHuQnDS6
Customer: @AppleSupport It’ll be nice if the swipe up feature takes us to home and holding it halfway to the app switcher and control center. Just like the iPhone X.
AppleSupport: @669692 Thank you for reaching out. We encourage you to leave feedback about this feature by going to https://t.co/aXEtn6UIwx
Customer: @AppleSupport Why is my little sister able to unlock my phone with facial recognition???? She’s 9 years younger than me, we don’t look EXACTLY the same! We have different features yet she’s able to unlock my phone. Whyyyyyy Apple???????
AppleSupport: @670005 We've got your DM and will continue there.
Customer: @AppleSupport @670005 🤔🤔 https://t.co/piie6DV8S8
Customer: @AppleSupport With new update my iphone 7 battery draining very quickly.Is it a hardware issue?@AppleSupport
Customer: @AppleSupport There is nothing to assist me with... iOS 11’s battery optimisation is shit and that’s all there is to it. Background App Refresh and Raise to Wake are off, 95% of the day at lowest brightness, barely any data usage... and I get 4-5 hours of usage. With data enabled I get like 3.
AppleSupport: @245530 Battery life is very important. We want to ensure that you're getting the most out of yours. Here's how: https://t.co/bivpdfBNJ6
Customer: @AppleSupport Upgraded my iPhone 7+ and now my camera won’t work!  Getting ready to go back to Android. This is ridiculous!
Customer: @AppleSupport @245530 Another standard reply from apple which fir for nothing.
Customer: @AppleSupport @666679 Great question, dont even think of updating ios11. Your device will behave like a piece of crap
Customer: @AppleSupport @668823 Its simple, what sucks is your standardized replies and your shit based ios11
Customer: @AppleSupport @670005 The DM is a standard reply with no fixes for ios11, road to failure
Customer: @AppleSupport This isn’t helping battery life...before update it was ok but now it is pathetic.
Customer: @AppleSupport I have an iPad 4 and last update was iOS 10.3.3 Thank you
AppleSupport: @678362 We want to help. Is your camera not working in a specific app or not working in any apps?
AppleSupport: @245530 We'd like to look into this further. Join us in DM here: https://t.co/GDrqU22YpT
AppleSupport: @668825 Thanks for confirming! In that case, your iPad is already updated to the latest compatible version of iOS for your device. We'd like to share this guide with a list of devices compatible with iOS 11: https://t.co/21Atv9dVW2
Customer: @AppleSupport Thanks a lot for helping and for you support.
Customer: @AppleSupport Updated yesterday now I can’t open any of my documents in the Pages app 😳
AppleSupport: @250021 We want to make sure this gets fixed for you! Talk with our Pages experts here:  https://t.co/IBIY3vMgPj
Customer: @AppleSupport My iPad hasn't had an update since iOS 9.3.5 but then again it is pretty old. I think it's like a 3rd or 4th generation.
Customer: @AppleSupport it’d be great if my phone would actually work with an aux cord with the adapter, not run out of battery within 3-4 hours, and if it didnt goddamn boot-loop for an hour or longer, overall, very pissed with ios 11 in general.
AppleSupport: @690115 Hey there. If you send us a DM we'd be happy to tell you the latest iOS version available on your device. https://t.co/GDrqU22YpT
AppleSupport: @691101 If you're experiencing issues with your iPhone, we can work together to see what's going on. DM us the exact iOS version, and we'll continue from there. https://t.co/GDrqU22YpT
Customer: @AppleSupport Min mau nanya nih kenapa semenjak ganti ke ios 11.1.1 kok menu sinyal dan batre kadang2 jadi suka ngilang dengan sendirinya dan kalau sudah ngilang harus di restart ulang lagi kaya contoh digambar min . Mohon pencerahannya min https://t.co/KpW7cyunrx
AppleSupport: @285473 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
Customer: @AppleSupport IPhone and iPad stop running because of the latest update should solve the problem 😤 https://t.co/ao4SxkVwPN
AppleSupport: @600044 We want to help with your iPhone and iPad. Take a look at the following article. It's got the steps you'll want to take to resolve this issue and using your iOS devices again: https://t.co/H7w57rsYVQ

If you continue to have issues after that, DM us. We'll help there. https://t.co/GDrqU22YpT
Customer: @AppleSupport Iphone6 ios 11.1.1 Touch ID not able to use, camera freezes, phone sometimes freezes on locked screen, camera freezes.
AppleSupport: @694699 We'd be glad to take a look at this with you. To do so, and to preserve your privacy, we'd like to have you meet us in DM. Thanks! https://t.co/GDrqU22YpT
Customer: @AppleSupport iOS update 11.1 is a mess ...phone stuck on Apple log and battery life is shorter than before ..what is going on with Apple are they happy with this?when they will fix this mess? #appl
Customer: @AppleSupport I done the latest update yesterday and literally the battery life on my phone since is ridiculous! Is there anything I can do, otherwise will be charging it up at least 2/3 a day
AppleSupport: @708172 We want you to be able to use your iPhone as expected after updating. Is your iPhone currently stuck on the Apple logo? Please let us know in DM. https://t.co/GDrqU22YpT
AppleSupport: @710083 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this issue with you there. https://t.co/GDrqU22YpT
Customer: @AppleSupport the worst iOS at all my iphone 7 system stuck on apple screen and not work and i restore it 2 times in 3 days all of this because of 11.1.1 stubbed system
mybe apple end when steve die
AppleSupport: @711895 We can check into your available options. Meet us in DM with your location (country), please. https://t.co/GDrqU22YpT
Customer: @AppleSupport WTF APPLE. Touch screen? Glitching. Calling? Nope. Texting? Glitching. Stop extorting money out of us &amp; ruining environment in process
AppleSupport: @718902 We want your device to run efficiently. We're here to assist. Please meet us in DM and we'll work towards a resolution together. https://t.co/GDrqU22YpT
Customer: @AppleSupport Thank you - have messaged. Leaving my original post as this seems to be a widespread issue for anyone in existing device+new iOS.
Customer: @AppleSupport Who's responsible for the data we lost!
When the iPhone stuck because of your iOS11 😡 

Even when we updated it to 11.1.1 it stuck again!! 

What can we do about that!!!
AppleSupport: @725346 Hello. We want to help. Please tell us more about what you experienced with data loss when you updated your phone.
Customer: @AppleSupport I was updated my phone before few days, I lost everything that day when my iPhone stuck. It stuck on lock screen when I enter the passcode. I can access to the camera and photos only.
I restored my iPhone and restored the final backup
AppleSupport: @725346 You mentioned restoring your iPhone. Was your data included in your backup?
Customer: @AppleSupport I lost date for that day only!
AppleSupport: @725346 Thanks. DM us if everything is working as expected now and we'll look into this further with you there. https://t.co/GDrqU22YpT
Customer: @AppleSupport I can not understand what is written because it is in English and I can not convert the language into standard Arabic.
AppleSupport: @600044 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3w3RGR
Customer: @AppleSupport Are you lot politicians? Answer the question not divert me to a help yourself link bollocks",3,IOS_11_BATTERY_DRAIN,"All customers report significant battery life degradation or rapid draining specifically after updating to iOS 11, requesting a fix or troubleshooting assistance."
31,"Customer: @AppleSupport how do I put iOS 10 back on my phone temporarily?
AppleSupport: @332479 Thanks for reaching out. While we cannot help you revert back to iOS 10, we can help you troubleshoot your device running iOS 11
Customer: @AppleSupport One of my apps doesn’t support iOS 10 so I need to go back",10,IOS_UPDATE_PROBLEM,"All customers are reporting issues, bugs, or dissatisfaction specifically related to recent iOS software updates on their devices."
32,"Customer: @applesupport Yo. Where’s my email?
AppleSupport: @432116 We can help get this sorted out. Is this in reference to an iPhone X preorder?
Customer: @AppleSupport Yes.
Customer: @AppleSupport I sent you a message.
AppleSupport: @432116 We've got your DM's and we look forward to working with you there.",8,REQUEST_HUMAN_CONTACT,"Customers are primarily seeking direct communication channels, such as phone numbers or emails, to speak with a representative or escalate their issues."
33,"Customer: @116333 where is my precious X reserved before his official release. I am waiting for an answer please @AppleSupport @484568
AppleSupport: @667319 Thank you for reaching out to us. We'll be glad to look into this. Did you purchase the iPhone X from Apple? Which country are you located in?
Customer: @AppleSupport I am in France, I preorder the iphone x in Boulanger stores !
AppleSupport: @667319 Send us a DM to continue. https://t.co/GDrqU22YpT
Customer: @667319 @AppleSupport Me too and nothing",1,IPHONE_HARDWARE_FAILURE,"Customers are reporting that their iPhones are not working, have crashed, or have hardware defects, and are requesting repairs, replacements, or refunds."
